ID,school_name,cert,location,type,fees,Latitude,Longitude,fees_normalized,Latitude_normalized,Longitude_normalized
88,Dr.Nermien Ismail Schools New Cairo,0,The 1st Settlement,0,53200,30.0645714,31.447989244439903,0.2312576094736413,-0.2534054808325888,0.6074356716348563
89,Europa Schule Kairo,2,The 5th Settlement,1,105740,30.00380455,31.424935726802204,1.373396772856719,-0.3805556967278593,0.5684093328019629
90,Salahaldin International School,1,The 5th Settlement,1,120000,30.00380455,31.424935726802204,1.683387341372948,-0.3805556967278593,0.5684093328019629
91,Bedayia International School,0,The 1st Settlement,1,105000,30.0645714,31.447989244439903,1.3573103057668163,-0.2534054808325888,0.6074356716348563
92,Capital International School October,1,October,1,65000,31.08086685,29.724904831435097,0.487771544150465,1.8731188639521203,-2.3095020901597803
93,Merryland International School,2,The 1st Settlement,1,90500,30.0645714,31.447989244439903,1.042102504680889,-0.2534054808325888,0.6074356716348563
94,Al Mokhtar Language School,0,Helwan,1,20000,29.8500001,31.333333,-0.4904595626679303,-0.7023803268206342,0.4133388958134753
95,Mokatam International Language School,0,Mokattam,0,12000,30.0163466,31.2804433,-0.6643673149912006,-0.3543123689057108,0.3238041278267177
96,Royal Pyramids Language School,0,Hada'iq Al Ahram,1,20000,29.96909,31.0973093,-0.4904595626679303,-0.4531933688666444,0.0137842146775081
97,Queen Language School,0,El Shorouk,1,17000,30.11952805,31.60687795516707,-0.5556749697891566,-0.138412686037714,0.8764117454388799
98,International Modern School Sayed Galal,0,El Shorouk,1,50000,30.11952805,31.60687795516707,0.1616945085443332,-0.138412686037714,0.8764117454388799
99,Thebes Advanced School (TAS),0,Cairo-Ismailia Desert Road,1,33500,30.1490863,31.4249067,-0.1969902306224117,-0.0765641967876298,0.5683601945387355
100,Integrated Thebes Language School,0,Cairo-Ismailia Desert Road,1,25000,30.1490863,31.4249067,-0.3817672174658864,-0.0765641967876298,0.5683601945387355
101,Integrated Thebes American College in Cairo,1,Cairo-Ismailia Desert Road,1,56350,30.1490863,31.4249067,0.299733786950929,-0.0765641967876298,0.5683601945387355
102,Saint Mary Language School,0,Helwan,1,6000,29.8500001,31.333333,-0.7947981292336532,-0.7023803268206342,0.4133388958134753
103,Zohour May Language School,0,Helwan,1,13700,29.8500001,31.333333,-0.6274119176225056,-0.7023803268206342,0.4133388958134753
104,Gheriany International Schools,0,El Shorouk,0,47700,30.11952805,31.60687795516707,0.111696029751393,-0.138412686037714,0.8764117454388799
105,AlAlson Azhari Language Schools,0,Al Maryoutia,1,19500,30.0426329,31.124639,-0.5013287971881347,-0.2993101971609496,0.0600495243436193
106,Degla Valley Language School,0,Maadi,1,16100,29.95891452548896,31.2605343965376,-0.5752395919255245,-0.4744848095273931,0.2901011752220159
107,Pyramids Language School,0,Al Maryoutia,0,19400,30.0426329,31.124639,-0.5035026440921756,-0.2993101971609496,0.0600495243436193
108,Zohour El Yasmeen Language School,0,Maadi,1,16000,29.95891452548896,31.2605343965376,-0.5774134388295654,-0.4744848095273931,0.2901011752220159
109,AL Othman Schools Alharam,0,El Haram,1,12500,29.850964,31.22094695,-0.6534980804709962,-0.7003634361458457,0.2230852375076301
110,American City International School October,1,October,1,70000,31.08086685,29.724904831435097,0.5964638893525088,1.8731188639521203,-2.3095020901597803
111,Agyad Al Azhari Language School,0,Maadi,1,27500,29.95891452548896,31.2605343965376,-0.3274210448648644,-0.4744848095273931,0.2901011752220159
112,El Massa Language School,0,Salam City,1,13000,30.17479935,31.4091625423734,-0.6426288459507917,-0.0227615089927893,0.541707566517692
113,City International Schools Zamalek,0,Zamalek,1,65000,29.9289553,30.934665072489047,0.487771544150465,-0.5371723108373451,-0.2615494169101001
114,Thebes El-Maadi Language School,0,Maadi,0,23000,29.95891452548896,31.2605343965376,-0.425244155546704,-0.4744848095273931,0.2901011752220159
115,Knowledge Valley School,2,Kerdasa,1,78000,30.03142255,31.115599860932907,0.7703716416757791,-0.3227670395472408,0.0447475426879827
116,Noor Language School,0,Maadi,1,18000,29.95891452548896,31.2605343965376,-0.5339365007487479,-0.4744848095273931,0.2901011752220159
117,Sakkara Language School Maadi,0,Maadi,0,30000,29.95891452548896,31.2605343965376,-0.2730748722638424,-0.4744848095273931,0.2901011752220159
118,Modern American School of Egypt,1,The 5th Settlement,1,85000,30.00380455,31.424935726802204,0.9225409249586406,-0.3805556967278593,0.5684093328019629
119,Al Bashaer International School,0,Maadi,1,67000,29.95891452548896,31.2605343965376,0.5312484822312825,-0.4744848095273931,0.2901011752220159
120,Saint Mary Elias International School For Girls,0,Maadi,0,27000,29.95891452548896,31.2605343965376,-0.3382902793850688,-0.4744848095273931,0.2901011752220159
121,Privilege Language School,0,Maadi,1,38500,29.95891452548896,31.2605343965376,-0.0882978854203678,-0.4744848095273931,0.2901011752220159
122,Future Rise Language School,0,Maadi,1,36500,29.95891452548896,31.2605343965376,-0.1317748235011853,-0.4744848095273931,0.2901011752220159
123,Orouba Language School Maadi,0,Maadi,0,35540,29.95891452548896,31.2605343965376,-0.1526437537799778,-0.4744848095273931,0.2901011752220159
124,Victory College Maadi,0,Maadi,1,12550,29.95891452548896,31.2605343965376,-0.6524111570189758,-0.4744848095273931,0.2901011752220159
125,Summits International Schools,0,Maadi,1,65000,29.95891452548896,31.2605343965376,0.487771544150465,-0.4744848095273931,0.2901011752220159
126,New Discovery International School,0,Al Maryoutia,1,49000,30.0426329,31.124639,0.1399560395039244,-0.2993101971609496,0.0600495243436193
127,Royal House Language School,0,El Haram,1,24109,29.850964,31.22094695,-0.4011361933808906,-0.7003634361458457,0.2230852375076301
128,Notion International School,2,Al Maryoutia,1,42000,30.0426329,31.124639,-0.012213243778937,-0.2993101971609496,0.0600495243436193
129,Elwy Languages Schools,0,Al Maryoutia,0,15500,30.0426329,31.124639,-0.5882826733497698,-0.2993101971609496,0.0600495243436193
130,Future Pioneers Language Schools,0,Hada'iq Al Ahram,0,24798,29.96909,31.0973093,-0.3861583882120489,-0.4531933688666444,0.0137842146775081
131,Hossam El Deen Private School,0,Faisal,1,9500,30.018819286056782,31.32421818804972,-0.7187134875922225,-0.3491384530953423,0.3979088106889377
132,Capital Language School,0,Hada'iq Al Ahram,0,32000,29.96909,31.0973093,-0.2295979341830249,-0.4531933688666444,0.0137842146775081
133,Narmer Language School Dokki,0,Dokki,0,15000,30.038186465234222,31.21081926315397,-0.5991519078699742,-0.3086140386540168,0.2059404987021192
134,Al Ahram Modern School -AMS,0,Hada'iq Al Ahram,1,31250,29.96909,31.0973093,-0.2459017859633314,-0.4531933688666444,0.0137842146775081
135,Egyptian Language School October,0,October,0,58000,31.08086685,29.724904831435097,0.3356022608676035,1.8731188639521203,-2.3095020901597803
136,La Rose De Lisieux Schools,0,Dokki,1,15000,30.038186465234222,31.21081926315397,-0.5991519078699742,-0.3086140386540168,0.2059404987021192
137,Glories language school,0,Sheikh Zayed,1,36050,30.056131850653067,30.972691160621636,-0.1415571345693693,-0.2710646242886201,-0.1971766377414677
138,Ramsis language school,0,Dokki,0,9000,30.038186465234222,31.21081926315397,-0.7295827221124269,-0.3086140386540168,0.2059404987021192
139,Child Home Language School,0,Dokki,1,11000,30.038186465234222,31.21081926315397,-0.6861057840316094,-0.3086140386540168,0.2059404987021192
140,Brilliance International School,0,October,0,26600,31.08086685,29.724904831435097,-0.3469856670012323,1.8731188639521203,-2.3095020901597803
141,Lycee El-Horreya,0,Heliopolis,1,11646,30.0901239,31.326542634536956,-0.6720627330315053,-0.1999387322408102,0.4018437692334563
142,Safwa Egyptian Language School,0,Mokattam,1,26500,30.0163466,31.2804433,-0.3491595139052732,-0.3543123689057108,0.3238041278267177
143,Modern Infinity School,0,Sheikh Zayed,1,27475,30.056131850653067,30.972691160621636,-0.3279645065908746,-0.2710646242886201,-0.1971766377414677
144,Ethos International School,2,Sheikh Zayed,1,103000,30.056131850653067,30.972691160621636,1.3138333676859988,-0.2710646242886201,-0.1971766377414677
145,Maharat S.U.P.E.R. Global British School of Egypt,2,Sheikh Zayed,1,70800,30.056131850653067,30.972691160621636,0.613854664584836,-0.2710646242886201,-0.1971766377414677
146,Manarat El Mostaqbal language school,0,Mokattam,1,19000,30.0163466,31.2804433,-0.5121980317083391,-0.3543123689057108,0.3238041278267177
147,Windrose Academy,2,Katameya,1,83000,29.9874449,31.5102943234146,0.8790639868778231,-0.4147870750117564,0.7129093421301738
148,Jana Dan International School,1,Katameya,1,61500,29.9874449,31.5102943234146,0.4116869025090342,-0.4147870750117564,0.7129093421301738
149,Sama International School,0,Mokattam,0,27300,30.0163466,31.2804433,-0.3317687386729461,-0.3543123689057108,0.3238041278267177
150,Al Karma Language School,0,Katameya,0,27000,29.9874449,31.5102943234146,-0.3382902793850688,-0.4147870750117564,0.7129093421301738
151,Al Alson language school,0,Nasr City,1,19240,30.0521177,31.3422045,-0.506980799138641,-0.2794639427027482,0.4283570882818516
152,Leaders International College,0,The 5th Settlement,1,98000,30.00380455,31.424935726802204,1.2051410224839547,-0.3805556967278593,0.5684093328019629
153,Cambridge Egypt Integrated Schools,0,Nasr City,0,30000,30.0521177,31.3422045,-0.2730748722638424,-0.2794639427027482,0.4283570882818516
154,Egyptian Pioneer Schools languages,0,October,1,23000,31.08086685,29.724904831435097,-0.425244155546704,1.8731188639521203,-2.3095020901597803
155,Smart Vision School,0,October,0,38000,31.08086685,29.724904831435097,-0.0991671199405721,1.8731188639521203,-2.3095020901597803
156,Pakistan International School Cairo,2,Zamalek,1,76930,29.9289553,30.934665072489047,0.7471114798025418,-0.5371723108373451,-0.2615494169101001
157,Heritage International School,1,October,1,150150,31.08086685,29.724904831435097,2.338802182941273,1.8731188639521203,-2.3095020901597803
158,Madinaty Integrated Language Schools,0,Madinty,1,32103,30.09173685,31.638060827436064,-0.2273588718718628,-0.1965637516267481,0.9291999297879128
159,Madinaty Language School,0,Madinty,1,29123,30.09173685,31.638060827436064,-0.2921395096122809,-0.1965637516267481,0.9291999297879128
160,Lycée Francais du Caire,2,Maadi,1,230508,29.95891452548896,31.2605343965376,4.085662078090442,-0.4744848095273931,0.2901011752220159
161,Concordia Lycée International Français en Egypte,2,The 5th Settlement,1,120000,30.00380455,31.424935726802204,1.683387341372948,-0.3805556967278593,0.5684093328019629
162,Lycée Albert Camus,2,October,1,152500,31.08086685,29.724904831435097,2.3898875851862336,1.8731188639521203,-2.3095020901597803
163,Aspire International School,2,The 1st Settlement,1,108000,30.0645714,31.447989244439903,1.4225257128880426,-0.2534054808325888,0.6074356716348563
164,Dome International School,1,October,1,63250,31.08086685,29.724904831435097,0.4497292233297496,1.8731188639521203,-2.3095020901597803
165,Blue Nile Language School,0,Al Maryoutia,1,14000,30.0426329,31.124639,-0.620890376910383,-0.2993101971609496,0.0600495243436193
166,مدرسة جينيس الامريكية,0,Faisal,0,19750,30.018819286056782,31.32421818804972,-0.4958941799280325,-0.3491384530953423,0.3979088106889377
167,Green City language School,0,North Giza,1,32000,29.9401222,31.151556,-0.2295979341830249,-0.5138063844172452,0.1056161913865357
168,NewCastle International School (NCS),0,October,0,78260,31.08086685,29.724904831435097,0.7760236436262854,1.8731188639521203,-2.3095020901597803
169,Majesty International Schools,0,Sheikh Zayed,1,94500,30.056131850653067,30.972691160621636,1.129056380842524,-0.2710646242886201,-0.1971766377414677
170,Al-Farabi Language School,0,New Cairo,1,31500,30.0277688,31.4756825,-0.2404671687032293,-0.3304122457958376,0.6543164293508484
171,Hotep International School,1,Cairo-Ismailia Desert Road,1,50000,30.1490863,31.4249067,0.1616945085443332,-0.0765641967876298,0.5683601945387355
172,Royal College International School,0,The 5th Settlement,1,97000,30.00380455,31.424935726802204,1.183402553443546,-0.3805556967278593,0.5684093328019629
173,Skyline Language School,0,October,1,19760,31.08086685,29.724904831435097,-0.4956767952376284,1.8731188639521203,-2.3095020901597803
174,Continental Palace School,0,Hada'iq Al Ahram,1,36570,29.96909,31.0973093,-0.1302531306683567,-0.4531933688666444,0.0137842146775081
175,Dream International Schools,0,October,0,28200,31.08086685,29.724904831435097,-0.3122041165365782,1.8731188639521203,-2.3095020901597803
176,Spatiss Modern Academy,0,Hada'iq Al Ahram,1,18000,29.96909,31.0973093,-0.5339365007487479,-0.4531933688666444,0.0137842146775081
